,Unnamed: 0,username,tweet,polarity,subjectivity
0,0,aoc,"The debate Democrats should be having is how much *more* we should be helping people this year, not how much less.",0.16666666666666669,0.2833333333333333
1,1,aoc,Yes - it’s retroactive back to Jan 2020.,0.0,0.0
2,2,aoc,How about we “means test” corporate tax breaks,0.0,0.0
3,3,aoc,Nationwide.,0.0,0.0
4,4,aoc,(Sorry for the previous typo. Cold fingers! 🥶),-0.47222222222222215,0.7222222222222223
5,5,aoc,"FEMA will be operating &amp; is authorized for $2 billion as of now. Program is retroactive &amp; will reimburse back to January 2020. Start collecting docs now. FEMA will need expense documentation (receipts/invoices), death certificate, &amp; docs for caller ID. Includes the undocumented.",0.0,0.0
6,6,aoc,"It’s official. If you’ve lost a loved one due to COVID-19, you will soon be able to get reimbursed up to $7,000 for the expenses of laying a loved one to rest. Proud and thankful to have gotten this done with , , , &amp; .",0.515,0.72
7,7,aoc,"Some of the same folks who said “defunding huge PD budgets &amp; shifting $ to schools is too hard to explain” are now saying “Well $1400 is actually $2k if you recall the $600 from a diff president, carry the 1- yes I know ads showed $2k checks, but thresholds-” Just help people!",0.027083333333333348,0.41666666666666663
8,8,aoc,"If you use West Virginia cost of living s to bring down relief for everyone, millions are left in the cold. That’s what $50k does. Cutting checks to account for Queens/higher COL overall is a win-win. Lower COL get more bang for their buck, higher COL get their needs met.",-0.08650793650793652,0.4555555555555556
9,9,aoc,"The borough of Queens has a higher population than the entire state of West Virginia. We should do what helps both instead of one. If we cut relief checks to account for higher cost of living, BOTH Queens &amp; West Virginia get help. WV actually comes out ahead due to lower COL.",0.075,0.42000000000000004
10,10,aoc,Some who discount our proposals by saying “reps from urban &amp; suburban areas don’t get other places” don’t seem to apply that consideration themselves. A $50k threshold is totally disconnected from the reality of tens of millions of people. So let’s talk Queens &amp; West Virginia:,-0.03125,0.28125
11,11,aoc,"Contact your member of Congress. They can help you track it down. This also applies to other things like social security, etc. My staff has been able to track down lots of money for people in our community. Find your member of Congress here:",0.019444444444444438,0.3288888888888889
12,12,aoc,The pandemic hit in 2020. We should not use 2019 income to determine relief eligibility.,0.0,0.0
13,13,aoc,"In conclusion, $50k is wack and we shouldn’t do wack things.",0.0,0.0
14,14,aoc,"It would be outrageous if we ran on giving more relief and ended up doing the opposite. It’s sad that this is even an argument in the Dem party. COVID relief is disaster relief, &amp; it’s urgent. Our first act out of the gate should be big, bold, and strong. Not weaker &amp; smaller.",0.0018518518518518452,0.537037037037037
15,15,aoc,(Source:,0.0,0.0
16,16,aoc,"Joe Cunningham pledged to never take corporate PAC money, and he never did. Mace said she’ll cash every check she gets. Yet another way this is a downgrade.",0.0,0.0
17,17,aoc,What’s even more gross is that Mace takes corporate PAC money. She’s already funded by corporations. Now she’s choosing to swindle working people on top of it. Peak scam artistry. Caps for cash 💰,0.25,0.25
18,18,aoc,Joe Cunningham already proving to be leagues more decent + honest than Mace seems capable of. The House was far better off w/ Cunningham. It’s sad to see Mace diminish the representation of her community by launching a reputation of craven dishonesty right off the bat.,0.231547619047619,0.687797619047619
19,19,aoc,"Pretty horrible. Well, it’s good to know what kind of person she is early. Also good to know that Mace is cut from the same Trump cloth of dishonesty and opportunism. Sad to see a colleague intentionally hurt other women and survivors to make a buck. Thought she’d be better.",0.12249999999999998,0.64
20,20,aoc,"Amazon workers have the right to form a union. Anti-union tactics like these, especially from a trillion-dollar company trying to disrupt essential workers from organizing for better wages and dignified working conditions in a pandemic, are wrong.",0.05714285714285714,0.647142857142857
21,21,aoc,We should preserve what was there and not peg it to outdated 2019 income. People need help!,-0.5000000000000001,0.6333333333333334
22,22,aoc,"If conservative Senate Dems institute a lower income threshold in the next round of checks, that could potentially mean the first round of checks under Trump help more people than the first round under Biden. Do we want to do that? No? Then let’s stop playing &amp; just help people.",0.010937500000000003,0.38177083333333334
